"","CDI","IPCA","IMA.Geral","IMA.B.5","IMA.B.5.","IRF.M.1","IRF.M.1.","Ibovespa","IDIV","SMLL","S.P.500","Global.BDRX","MSCI.World"
"w_2011",0,0,0,0.348703675797623,0,0.645507296045987,0,0,0,0,0.00578902815638689,0,0
"w_2012",0,0,0.0361765432061625,0.31579050657692,0,0.600727153094972,0.00236341781408722,0,0,0.00643037698020232,0,0.0385120023276572,0
"w_2013",0.399999999999999,0,0,0,0,0.52864469115845,0,0,0,0,0.0211682832676369,0.0360216272138847,0.0141653983600286
"w_2014",0.399999999999998,0,0,0.320920558705403,0.17907944129459,0,0,0,0,0,0,0.0999999999999999,0
"w_2015",0.0114656666597347,0,0,0.888534333340262,0,0,0,0,0,0,0,0.1,0
"w_2016",0.277113372009726,0.122886627990274,0,0,0,0.598716147815749,0,0,0,0,0,0.0012838521842529,0
"w_2017",0.186398210303131,0.213601789696869,0,0,0,0.57702687810719,0,0,0,0,0,0.00980277051191777,0.013170351380892
"w_2018",0,0,0.852544228463718,0,0,0,0.061819651046509,0,0,0,0,0.0856361204897667,0
"w_2019",0,0,0,0.261489973915334,0.0401766512328905,0.631651304292799,0,0,0,0.01666978238989,0,0.0287014634726203,0.0213108246964674
