"","CDI","IPCA","IMA.Geral","IMA.B","IMA.B.5","IMA.B.5.","IRF.M","IRF.M.1","IRF.M.1.","Ibovespa","IDIV","SMLL","S.P.500","Global.BDRX","MSCI.World"
"w_2011",0,0,0,0,0.337833563179141,0,0,0.653778666621867,0,0,0,0,0.00838777019898801,0,0
"w_2012",0,0,0.0357437272851232,0,0.301349063796285,0,0.0114094277655111,0.605634462115937,0,0,0,0.00749957571935531,0,0.038363743317786,0
"w_2013",0.4,0,0,0,0,0,0,0.530874981477356,0,0,0,0,0.0214597619345936,0.035132933912856,0.0125323226752006
"w_2014",0.4,0,0,0,0.246510099789241,0.14743183905113,0,0.106058061159633,0,0,0,0,0,0.1,0
"w_2015",0.133672629994402,0,0,0,0.766327370005601,0,0,0,0,0,0,0,0,0.1,0
"w_2016",0.27641800026543,0.12358199973457,0,0,0,0,0,0.598746447011118,0,0,0,0,0,0.00125355298888087,0
"w_2017",0.183358788061793,0.216641211938206,0,0,0,0,0,0.577212166524589,0,0,0,0,0,0.00966752018551481,0.0131203132898985
"w_2018",0,0,0.740722702422036,0,0,0,0,0.0842267591050299,0.0880175010797788,0,0,0,0,0.087033037393163,0
"w_2019",0,0,0,0.0781701801791329,0.188833800515144,0,0,0.665490988011758,0,0,0,0.0174408110778186,0,0.029132139413631,0.0209320808025121
